id,Latitude,Longitude,ToNde,Velocity,Capacity,Distance
138498924,52.4276112626119,13.46817184782745,138498926+138506008+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+631.5844094107752+,
138498926,52.42767675564957,13.468095257804316,138496279+138498932+,8.333333333333334+5.0+,2000.0+634.5+,30.0+372.76433174812564+,
138498932,52.42991482657523,13.464071561737983,34968324+,5.0+,634.5+,199.6397122461147+,
138502797,52.432317494125876,13.473519907188216,138507628+,8.333333333333334+,2000.0+,30.0+,
138506008,52.432207607207765,13.473425516280077,138498911+138502797+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,980.1062790623746+30.0+,
138506022,52.42160588633356,13.461624305503893,138436578+248596497+,3.0+8.333333333333334+,1200.0+2000.0+,30.0+80.12726131071707+,
138507619,52.4217330724744,13.461529418638278,138509155+26723205+,3.0+8.333333333333334+,1200.0+1000.0+,30.0+1181.7423253761722+,
138507628,52.43239068666956,13.473382624328794,138548551+21537095+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+350.5145557505852+,
138509155,52.42163578387744,13.461474523361934,138506022+,8.333333333333334+,2000.0+,30.0+,
138514711,52.42694877334518,13.44664933067963,138516476+26723202+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+587.9537755238314+,
138516476,52.42684938393818,13.44676091607373,138509155+26723205+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,1189.5516972949838+30.0+,
138548526,52.41561764993762,13.496207497968781,458909312+458909316+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,52.308312709085+30.0+,
138548551,52.43226810117394,13.473291532824774,138498926+138506008+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,629.0227493338718+30.0+,
138548556,52.42404496066894,13.485260507681952,138457830+138559855+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,868.2250719408682+30.0+,
138559855,52.42394107155082,13.485408188825751,138559856+458918599+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+293.79524352481474+,
138559856,52.4240428591421,13.485542075019136,138559858+138562268+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,276.2587728483895+30.0+,
138559858,52.42599002203782,13.488060615836838,138559864+138562267+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,540.642661203882+30.0+,
138559864,52.42978665944894,13.493018404969776,138559867+138562262+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,245.4479889255195+30.0+,
138559867,52.431484252092865,13.495319266778386,138562259+35215931+539716615+,3.0+3.0+8.333333333333334+,1200.0+600.0+1000.0+,30.0+1911.9157419537394+161.18627854233998+,
138559868,52.43298326974889,13.49723087035865,290971361+,5.0+,1874.8+,60.407727734633525+,
138562257,52.433821069061565,13.49810398320855,206191833+,8.333333333333334+,2000.0+,37.03777920068291+,
138562259,52.43157584295955,13.495115491930646,138559867+138562262+,3.0+8.333333333333334+,1200.0+1000.0+,30.0+244.60522729202975+,
138562262,52.42987435060432,13.492839327193938,138559864+138562267+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+540.9184462229412+,
138562267,52.4260679142228,13.487895036331372,-128+138559858+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,84.88127909829673+30.0+,
138562268,52.424144448547914,13.485390194323404,138548556+21537785+,8.333333333333334+8.333333333333334+,2000.0+1199.9+,30.0+112.32569714574892+,
138628551,52.4275462707684,13.468049360928422,138498924+539771944+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+147.35742989965473+,
142778783,52.573660258302404,13.312663879134204,26871428+,5.0+,736.5+,652.5294271160567+,
144581468,52.428738383801715,13.256219923847791,27252603+27252619+30134861+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+,314.411027726853+247.97892584709072+1167.7020010922092+,
144800239,52.39920047288462,13.51911256998547,260479469+,16.666666666666668+,6000.0+,3348.0184854396616+,
146213656,52.6822468475683,13.57921313372992,28830549+29768570+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+1788.5494081956713+,
146213663,52.682441424955556,13.579298127108691,146213656+267928112+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+1587.1074417759992+,
146677692,52.446952050388624,13.297213887883013,26906168+26906173+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,277.093890183681+553.6391078758272+,
146677696,52.44684826145022,13.297327972878401,59709813+,8.333333333333334+,2000.0+,269.6714584364334+,
148503980,52.425305407167414,13.486893539594718,138562268+,5.0+,655.4+,164.7865130698873+,
148805586,52.4239586624967,13.328577259766382,88575464+88588743+,3.0+3.0+,600.0+600.0+,753.1813742339551+231.02784632285773+,
148805652,52.42394576602792,13.32825409698243,148805586+148805661+,3.0+3.0+,1200.0+600.0+,30.0+661.7324481220897+,
148805661,52.41842181681228,13.324658519012988,148805652+153912744+30096722+88575464+,3.0+3.0+8.333333333333334+8.333333333333334+,600.0+600.0+1000.0+1000.0+,661.7324481220897+202.7896717612902+727.4985420447474+519.779014701455+,
148867066,52.281952472338524,13.735842262267534,38884692+445763777+98888831+,3.0+8.333333333333334+8.333333333333334+,600.0+1000.0+1000.0+,5249.397324961923+6485.567544372347+4156.17840309822+,
